title,competition,year,published_at
Punjabi Heritage Folk - First Place Live Bhangra Boys Category at 6IX City Bhangra 2025,Punjabi Heritage Folk - First Place Live Bhangra Boys Category at 6IX City Bhangra,2025,2025-03-22T05:53:35Z
Anokhey Gabru - First Place music category at Groundshaker Bhangra 2024,Anokhey Gabru - First Place music category at Groundshaker Bhangra,2024,2024-08-17T15:45:19Z
Virginia Tech Bhangra - Third Place at Richmond Mela Competition 2024,Virginia Tech Bhangra - Third Place at Richmond Mela Competition,2024,2024-06-20T20:15:30Z
Assi hasde hi rehne aa #bhangra #dance #gabrootv #gabroogulabwargey #punjabi #bhangraworldwide,Assi hasde hi rehne aa #bhangra #dance #gabrootv #gabroogulabwargey #punjabi #bhangraworldwide,,2023-11-21T06:22:22Z
Gabroo Gulab Wargey - First place at Bhangra in the Burgh 2023,Gabroo Gulab Wargey - First place at Bhangra in the Burgh,2023,2023-11-21T05:22:31Z
G9 Bhangra Academy at Flower City Bhangra 2022,G9 Bhangra Academy at Flower City Bhangra,2022,2022-09-02T05:00:10Z
Farishtey @ Legacy of Bhangra 2019,Farishtey @ Legacy of Bhangra,2019,2020-04-04T02:30:10Z
Duniya De Rang - Exhibition Performance @ Championships of #Bhangra 2019,Duniya De Rang - Exhibition Performance @ Championships of #Bhangra,2019,2019-05-23T15:58:12Z
Bhangra All Stars Sydney - Second Place @ Bhangra Fever 2019,Bhangra All Stars Sydney - Second Place @ Bhangra Fever,2019,2019-05-15T14:58:45Z
Ankhi Sher Jawan - First Place @ Bay Area Bhangra Giddha Competition 2018,Ankhi Sher Jawan - First Place @ Bay Area Bhangra Giddha Competition,2018,2018-10-05T00:47:28Z
Miami UJhoom @ Buckeye Mela 2018,Miami UJhoom @ Buckeye Mela,2018,2018-05-20T03:37:53Z
Bhangra Arena 2018,Bhangra Arena,2018,2018-01-08T05:22:23Z
Shivjot l PALAZZO l Bhangra Around The World I New Delhi Connaught Place,Shivjot l PALAZZO l Bhangra Around The World I New Delhi Connaught Place,,2018-01-07T22:31:22Z
Furteelay @ Bhangra in the Burgh 2017,Furteelay @ Bhangra in the Burgh,2017,2017-11-29T03:53:26Z
Dub City Bhangra @ West Coast Bhangra 2016,Dub City Bhangra @ West Coast Bhangra,2016,2016-03-10T21:09:37Z
PHF Junior Girls Bhangra Team @ Bhangra Idols 2014: The Battle,PHF Junior Girls Bhangra Team @ Bhangra Idols,2014,2014-10-22T03:49:09Z
Phenomenon Step Team &amp; Cornell Big Red Raas @ Pao Bhangra 2014,Phenomenon Step Team &amp; Cornell Big Red Raas @ Pao Bhangra,2014,2014-06-02T05:25:34Z
Gabroo Punjabis @ Nachda Punjab 2013,Gabroo Punjabis @ Nachda Punjab,2013,2013-05-04T18:23:37Z
Giddhe Diyan Raniya @ Tor Punjaban Di Giddha Competition 2012,Giddhe Diyan Raniya @ Tor Punjaban Di Giddha Competition,2012,2012-06-14T08:22:38Z
San Jose State University Bhangra @ Nachda Punjab 2010,San Jose State University Bhangra @ Nachda Punjab,2010,2010-12-01T05:02:19Z
Folkal Attraction @ Rangla Punjab 2010,Folkal Attraction @ Rangla Punjab,2010,2010-06-12T11:39:28Z
Anakh Punjab Di (APD) @ Bruin Bhangra 2009,Anakh Punjab Di (APD) @ Bruin Bhangra,2009,2009-06-04T20:54:51Z
Born 2 Bhangra (B2B) @ Dhol Di Awaz 2009,Born 2 Bhangra (B2B) @ Dhol Di Awaz,2009,2009-03-09T08:19:34Z
Bhangra&#39;s Most Wanted @ Bhangra Bash 2008,Bhangra&#39;s Most Wanted @ Bhangra Bash,2008,2008-07-30T06:38:47Z
Bhangra Empire @ Rooh Punjab Di 2007,Bhangra Empire @ Rooh Punjab Di,2007,2007-11-17T09:08:31Z
Rooh Punjab Di 2007 - Virsa: Our Tradition,Rooh Punjab Di,2007,2007-11-17T08:55:37Z
