video_id,title,published_at,year,duration,view_count,like_count,comment_count,channel_title,category_id,tags,description,placings,competition_name,team_name,comp_year,total_comps,placing_score,sum_placing_score,finalscore,number_of_teams_in_comp,comp_numerator,comp_score
lOfHC8y0SVA,msu jawani at down south bhangra 2023,2023-03-13T12:35:37Z,2023,516,5422,81.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is MSU Jawani (representing Michigan State University in East Lansing, MI, USA) with their performance at Down South Bhangra 2023.

Down South Bhangra 2023 took place on Saturday March 4 2023 at the Lyric Theater in Birmingham Alabama, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004

#bhangra #gabrootv #msujawani #downsouthbhangra",None,down south bhangra,msu jawani,2023,2,0.1,1.1,0.55,2,1.3,0.65
hgmK579J-AM,cia lok naach - first place at down south bhangra 2023,2023-03-06T13:30:06Z,2023,551,16008,254.0,19.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is CIA Lok Naach (representing Carolina Indian Arts in Morrisville, North Carolina, USA) with their First Place performance at Down South Bhangra 2023. The red Jodi (Anya Abhayakumar and Sia Bhatia) also received the best jodi award at this competition.

Mix: JuicyDev with help from GSimz & GSingh

Down South Bhangra 2023 took place on Saturday March 4 2023 at the Lyric Theater in Birmingham Alabama, USA.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004

#bhangra #gabrootv #cialoknaach #downsouthbhangra",1,down south bhangra,cia lok naach,2023,2,1.0,1.5,0.75,2,1.3,0.65
_9fOMViEOVY,vasda punjab uk - first place live category at groundshaker bhangra 2024,2024-08-14T05:28:05Z,2024,763,26487,311.0,26.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Vasda Punjab UK with their First Place performance in the Live Bhangra category at Groundshaker Bhangra 2024.

Groundshaker Bhangra 2024 was organized by Canada's largest and most prestigious Bhangra academy, Nachdi Jawani. This event took place on August 3 2024 at the Rose Theater in Brampton, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #groundshakerbhangra #nachdijawani #vasdapunjab",1,groundshaker bhangra,vasda punjab uk,2024,4,1.0,3.5,0.875,4,2.555,0.63875
LrJ2KwE_y1o,punjabi heritage & folk (phf edmonton) - second place live category at groundshaker bhangra 2024,2024-08-17T20:12:25Z,2024,775,8093,79.0,8.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Punjabi Heritage & Folk (PHF Edmonton) with their Second Place performance in the Live Bhangra category at Groundshaker Bhangra 2024.

Groundshaker Bhangra 2024 was organized by Canada's largest and most prestigious Bhangra academy, Nachdi Jawani. This event took place on August 3 2024 at the Rose Theater in Brampton, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #groundshakerbhangra #nachdijawani #phfedmonton",2,groundshaker bhangra,phf edmenton,2024,12,0.75,6.0,0.5,4,2.555,0.63875
A2ji1m5mEuw,anokhey gabru - first place music category at groundshaker bhangra 2024,2024-08-17T15:45:19Z,2024,752,34200,379.0,26.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Anokhey Gabru (representing Ontario, Canada) with their First Place performance in the Music Category at Groundshaker Bhangra 2024.

Groundshaker Bhangra 2024 was organized by Canada's largest and most prestigious Bhangra academy, Nachdi Jawani. This event took place on August 3 2024 at the Rose Theater in Brampton, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #groundshakerbhangra #nachdijawani #anokhey #anokheygabru",1,groundshaker bhangra,anokhey gabru,2024,1,1.0,1.0,1.0,4,2.555,0.63875
_IWcutc6hYE,nachde punjabi at groundshaker bhangra 2024,2024-08-14T05:28:00Z,2024,720,3357,44.0,0.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Nachde Punjabi with their performance in the Live Bhangra academy at Groundshaker Bhangra 2024.

Groundshaker Bhangra 2024 was organized by Canada's largest and most prestegious Bhangra academy, Nachdi Jawani. This event took place on August 3 2024 at the Rose Theater in Brampton, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #groundshakerbhangra #nachdejawani #nachdepunjabi",None,groundshaker bhangra,nachde punjabi,2024,10,0.1,1.8,0.18,4,2.555,0.63875
Iv1d88aFnnM,nachde punjabi gabroo - live bhangra category at back 2 roots festival 2024,2024-08-01T07:30:36Z,2024,746,3202,37.0,1.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Nachde Punjabi Gabroo with their performance in the Live Bhangra category at Back 2 Roots Festival 2024.

Back 2 Roots Festival 2024 July 28 2024 at the Living Arts Centre, in Mississauga, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #back2rootsfestival #nachdepunjabi #nachdepunjabigabroo",None,back 2 roots festival,nachde punjabi,2024,10,0.1,1.8,0.18,4,2.1425,0.535625
MGa7bdjdmOw,punjabi folk dance academy - second place live bhangra category at back 2 roots festival 2024,2024-08-02T01:05:12Z,2024,638,5840,57.0,6.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Punjabi Folk Dance Academy (PFDA) with their Second Place performance in the Live Bhangra category at Back 2 Roots Festival 2024.

Back 2 Roots Festival 2024 July 28 2024 at the Living Arts Centre, in Mississauga, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #back2rootsfestival #PFDA #punjabifolkdanceacademy #gidha #giddha",2,back 2 roots festival,punjabi folk dance academy,2024,8,0.75,4.7,0.5875,4,2.1425,0.535625
SE_dzCJQDvs,vasda punjab uk - first place live bhangra category at back 2 roots festival 2024,2024-08-02T01:54:52Z,2024,769,9492,124.0,7.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Vasda Punjab UK with their First Place performance in the Live Bhangra category at Back 2 Roots Festival 2024.

Back 2 Roots Festival 2024 July 28 2024 at the Living Arts Centre, in Mississauga, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #back2rootsfestival #PFDA #punjabifolkdanceacademy #gidha #giddha",1,back 2 roots festival,vasda punjab uk,2024,4,1.0,3.5,0.875,4,2.1425,0.535625
jqI3XCdXoqk,folklore bhangra academy - third place live bhangra category at back 2 roots festival 2024,2024-08-01T07:26:16Z,2024,696,5580,58.0,9.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Folklore Bhangra Academy with their Third Place performance in the Live Bhangra category at Back 2 Roots Festival 2024.

Back 2 Roots Festival 2024 July 28 2024 at the Living Arts Centre, in Mississauga, Ontario, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 20 years of free sewa to our Bhangra community.

#bhangra #gabrootv #back2rootsfestival #folklorebhangra #folklore #folklorebhangraacademy #gidha #giddha",3,back 2 roots festival,folklore bhangra academy,2024,1,0.5,0.5,0.5,4,2.1425,0.535625
