video_id,title,published_at,year,duration,view_count,like_count,comment_count,channel_title,category_id,tags,description,placings
IPH7MOLr004,Yaaran Ve,2025-08-24T03:30:35Z,2025,PT47S,8905,301.0,5.0,Harjot Hundal (Gabroo Tv),24,,"Not just a team, but yaaran ve✨#bhangra #gabrootv #lalkaarebhangra #backtotheroots #21yearsofgtv",None
_eaWffNQLJ4,Kohinoor Vehre Diyan Raunkan at GHG Bhangra 2025,2025-08-02T05:28:13Z,2025,PT8M55S,4778,69.0,3.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"--

www.gabroo.tv - The largest Bhangra Library in the world, serving the community since 2004",None
Tgf_Qj1AiKA,Riverside Bhangra at GHG Bhangra 2025,2025-08-02T05:27:34Z,2025,PT8M47S,2359,33.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"--

www.gabroo.tv - The largest Bhangra Library in the world, serving the community since 2004",None
cp3R3nF7l7k,Dope sequence 🫡,2025-07-31T17:17:44Z,2025,PT1M,30961,2063.0,19.0,Harjot Hundal (Gabroo Tv),24,,#bhangra #gabrootv #ghgbhangra#shaunkjawanida #21yearsofgtv #gurpreetguni,None
lcPNNuNRfVw,Gabroo Unit - Third Place at GHG Bhangra 2025,2025-07-31T05:29:16Z,2025,PT9M17S,6435,81.0,2.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Gabroo Unit (representing Northern California, USA) with their Third Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #gabroounit",Third
CeP0dhc7lJw,GOT Bhangra at GHG Bhangra 2025,2025-07-31T05:19:04Z,2025,PT9M3S,3380,49.0,4.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is GOT Bhangra (representing Southern California, USA) with their performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #gotbhangra",None
R_14iH0B2FE,Shaunk Jawani Da - Second Place at GHG Bhangra 2025,2025-07-31T05:04:20Z,2025,PT8M55S,22570,665.0,14.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shaunk Jawani Da with their Second Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #shaunkjawanida",Second
k9TmV6UUOgA,Insane drop!,2025-07-30T06:30:59Z,2025,PT43S,16899,667.0,3.0,Harjot Hundal (Gabroo Tv),24,,#bhangra #gabrootv #ghgbhangra #apnabhangracrew #21yearsofgtv #misspooja,None
LdDNvOsO1bM,Apna Bhangra Crew - First Place at GHG Bhangra 2025,2025-07-30T06:12:29Z,2025,PT8M37S,39424,440.0,26.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Apna Bhangra Crew (representing ABC Dance Center in Seattle, Washington, USA) with their First Place performance at GHG Bhangra 2025.

GHG Bhangra 2025 took place on July 26 2025, at the William Saroyan Theater, in Fresno, California, USA. GHG Bhangra is a free event with the aim of preserving and promoting Punjabi culture in and around California's Central Valley.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #ghgbhangra #apnabhangracrew #abcdancecenter",First
L2Z6vidWQMg,Shan E Punjab Arts Club at Bhangra Revolution 2025,2025-04-25T20:00:18Z,2025,PT10M27S,11332,126.0,6.0,Harjot Hundal (Gabroo Tv),24,Gabroo Tv;Gabroo;Giddha Tv;GTV;GTV Bhangra;Harjot Hundal;Punjab;Punjabi;Virsa;Dhol;Tumbi;Bhangra,"This is Shan E Punjab Arts Club at Bhangra Revolution 2025.

Bhangra Revolution 2025 took place on March 30 2025 at the Bell Performing Arts Center, in Surrey British Columbia, Canada.

www.gabroo.tv - THE largest Bhangra library in the world, serving and documenting the Bhangra community since 2004, and celebrating 21 years of free sewa to our Bhangra community.

#bhangra #gabrootv #bhangrarevolution #shanepunjab",None
